Benchmark,Qubits,Qiskit O3 Fid,TKET Fid,RL Fid,Qiskit O3 gate_ratio,TKET gate_ratio,RL gate_ratio,Qiskit O3 Crit Depth,TKET Crit Depth,RL Crit Depth,Qiskit O3 mix,TKET mix,RL mix,Qiskit O3 Time,TKET Time,RL Fid Time,RL gate_ratio Time,RL Crit Depth Time,RL Fid Crit Depth,RL Fid gate_ratio,RL Crit Depth Fid,RL Crit Depth gate_ratio,RL gate_ratio Fid,RL gate_ratio Crit Depth
dj,11,0.37968,0.35945,0.5277,0.61719,0.87611,0.8913,0.0,0.0,0.32877,0.18984,0.179725,0.41486999999999996,0.33,0.35,1.58,3.12,1.23,0.0,0.91304,0.35707,0.5,0.0,0.42
qft,5,0.45349,0.55655,0.62828,0.58333,0.87423,0.85143,0.1,0.17073,0.34615,0.276745,0.36363999999999996,0.36092,0.35,0.39,4.67,1.24,1.32,0.19512,0.50602,0.26261,0.85143,0.26261,0.34615
wstate,6,0.78541,0.78844,0.56787,0.78723,0.91071,0.95169,0.3,0.3,0.3,0.542705,0.54422,0.44616,0.2,0.15,4.1,1.39,0.17,0.3,0.88506,0.56787,0.88506,0.21177,0.3
ghz,14,0.55986,0.65068,0.60493,0.56667,0.92398,0.87135,0.0,0.0,0.43421,0.27993,0.32534,0.30408,0.44,0.15,6.97,3.07,6.74,0.04545,0.4359,0.09899,0.1828,0.02234,0.27273
pricingput,11,0.0,0.00025,7e-05,0.60078,0.87341,0.95855,0.34578,0.27607,0.42584,0.17289,0.13815999999999998,0.19527,13.28,1.96,6.93,4.55,13.66,0.37209,0.66472,0.0,0.52527,0.0,0.2402
su2random,2,0.92437,0.91554,0.91063,0.9,0.91892,0.96512,0.0,0.0,0.0,0.462185,0.45777,0.455315,0.04,0.05,5.92,2.6,6.07,0.0,0.9434,0.49853,0.96154,0.48963,0.0
qftentangled,7,0.21203,0.28955,0.33991,0.53942,0.86928,0.84636,0.3964,0.35833,0.52632,0.304215,0.32394,0.37827,1.86,0.57,10.81,2.12,1.36,0.48571,0.74138,0.05513,0.84636,0.05513,0.52632
qpeexact,2,0.97173,0.98034,0.95928,0.91667,0.92308,0.94286,0.0,0.0,0.0,0.485865,0.49017,0.47964,0.43,0.03,3.47,1.55,3.06,0.0,0.84615,0.93405,0.97297,0.64788,0.0
qftentangled,7,0.21203,0.28955,0.33991,0.53942,0.86928,0.84636,0.3964,0.35833,0.52632,0.304215,0.32394,0.290725,0.97,0.52,7.94,1.72,2.93,0.48571,0.74138,0.05513,0.84636,0.05513,0.52632
qftentangled,10,0.04245,0.00033,0.07184,0.4587,0.86559,0.84532,0.44177,0.51667,0.65789,0.24211,0.2585,0.330485,1.76,6.36,6.56,1.65,1.08,0.67708,0.35714,0.00308,0.84532,0.00308,0.65789
qgan,12,0.0092,0.00879,0.00493,0.67723,0.86709,0.83871,0.48661,0.42857,0.56477,0.247905,0.21868,0.235205,2.73,7.02,5.25,11.21,3.72,0.42222,0.44759,0.0,0.45014,0.0,0.51579
ghz,13,0.56582,0.66574,0.66118,0.57143,0.92405,0.88,0.0,0.0,0.5,0.28291,0.33287,0.34068,0.53,0.13,4.96,2.96,3.16,0.0,0.51613,0.0778,0.16,0.11211,0.0
vqe,12,0.45201,0.62711,0.59732,0.86982,0.92058,0.90647,0.40909,0.40909,0.56693,0.43055,0.5181,0.512015,0.52,0.24,3.3,12.17,2.84,0.36,0.91135,0.03436,0.60188,0.00272,0.42308
graphstate,13,0.04479,0.5186,0.54571,0.38462,0.90234,0.88187,0.38194,0.52,0.70297,0.213365,0.5193,0.423095,0.4,0.35,2.48,5.35,3.98,0.43478,0.71779,0.00408,0.39157,0.21519,0.53488
qgan,13,0.00732,0.00174,0.02405,0.67401,0.86736,0.83299,0.4306,0.70915,0.62032,0.21896,0.35544499999999996,0.282425,2.19,5.37,6.25,10.51,5.16,0.53608,0.63806,0.0,0.52133,0.0,0.56386
ae,9,0.13847,0.01558,0.00971,0.60278,0.8729,0.92904,0.21678,0.32184,0.41667,0.177625,0.16871,0.21799,0.56,0.73,29.51,16.7,1.77,0.51691,0.65898,0.01931,0.87543,0.0,0.23457
qgan,7,0.32406,0.14958,0.48998,0.63077,0.87305,0.90625,0.41667,0.33333,0.47619,0.370365,0.241455,0.434545,0.69,0.36,6.44,1.1,1.95,0.38095,0.75,0.27348,0.90625,0.27348,0.47619
routing,6,0.70652,0.74239,0.69335,0.87179,0.91713,0.95098,0.4,0.4,0.4,0.5532600000000001,0.571195,0.5818300000000001,0.33,0.15,5.23,1.15,1.87,0.4,0.89362,0.51376,0.89362,0.12851,0.4
graphstate,4,0.84798,0.66442,0.82799,0.85,0.89474,0.91667,0.33333,0.1,0.375,0.5906549999999999,0.38221,0.510165,0.54,0.13,4.59,2.31,1.95,0.0,0.85106,0.76183,0.71429,0.77033,0.25
su2random,5,0.42466,0.11146,0.41629,0.64835,0.88049,0.88235,0.125,0.25287,0.43333,0.27483,0.182165,0.30968,0.89,0.39,3.52,2.1,1.04,0.21429,0.50296,0.18603,0.88235,0.18603,0.43333
ae,13,0.00067,2e-05,0.00337,0.57075,0.86603,0.87343,0.37637,0.59055,0.63454,0.18852,0.295285,0.32117,4.12,3.65,11.31,9.8,4.06,0.56396,0.40832,0.0,0.35325,0.0,0.42384
twolocalrandom,2,0.92513,0.916,0.93633,0.85714,0.89286,0.96154,0.0,0.0,0.0,0.462565,0.458,0.468165,0.47,0.04,1.69,1.89,1.72,0.0,0.93333,0.82544,0.95238,0.49853,0.0
dj,4,0.64573,0.64459,0.84664,0.875,0.90323,0.90909,0.0,0.0,0.48,0.322865,0.322295,0.534535,0.06,0.06,4.4,3.73,12.27,0.0,0.73529,0.06461,0.34641,0.82875,0.0
qpeexact,4,0.7599,0.59941,0.80164,0.67347,0.88596,0.88889,0.0,0.0,0.6044,0.37995,0.299705,0.49624,0.83,0.15,9.03,3.21,6.91,0.0,0.70213,0.09214,0.40909,0.05432,0.0
realamprandom,5,0.42466,0.11178,0.41629,0.64444,0.87729,0.82857,0.125,0.25287,0.43333,0.27483,0.182325,0.33137,0.77,0.49,3.74,1.63,2.53,0.21429,0.50296,0.22941,0.82857,0.22941,0.43333
portfoliovqe,9,0.00908,0.00016,0.00389,0.67104,0.86516,0.89381,0.47009,0.49096,0.69444,0.239585,0.24556,0.34812499999999996,3.35,1.29,5.7,2.23,6.74,0.53237,0.62432,0.00181,0.89381,0.00181,0.69444
vqe,10,0.45289,0.66968,0.69139,0.87671,0.92174,0.86154,0.38889,0.38889,0.53509,0.42089,0.529285,0.5476,0.49,0.19,2.81,1.86,8.49,0.33333,0.86093,0.0669,0.58394,0.38719,0.38889
qpeexact,14,0.00048,5e-05,1e-05,0.52081,0.86642,0.86886,0.5078,0.51992,0.66254,0.25414000000000003,0.259985,0.32143499999999997,0.73,2.09,42.62,1.41,4.58,0.5459,0.50687,0.0,0.25338,0.0,0.50791
wstate,19,0.25572,0.16879,0.28315,0.78049,0.90955,0.88312,0.44444,0.44444,0.33333,0.35008,0.30661499999999997,0.43161000000000005,1.92,0.39,16.39,3.73,4.44,0.60274,0.74828,0.2091,0.68,0.00227,0.44444
ae,6,0.40136,0.36137,0.50011,0.69677,0.87598,0.88764,0.10638,0.19048,0.325,0.25387,0.27592500000000003,0.36211499999999996,0.81,0.34,4.97,0.87,4.68,0.21053,0.65868,0.09728,0.83158,0.18027,0.2
wstate,6,0.78541,0.78844,0.71271,0.78723,0.91071,0.95169,0.3,0.3,0.3,0.542705,0.54422,0.44616,0.22,0.13,3.08,0.89,1.61,0.3,0.89691,0.59232,0.89691,0.21177,0.3
ghz,8,0.77921,0.80239,0.70157,0.61111,0.92473,0.84444,0.0,0.0,0.34884,0.389605,0.401195,0.40568,0.12,0.1,18.54,0.39,3.96,0.0,0.84444,0.50227,0.2037,0.70157,0.0
qaoa,7,0.4391,0.24128,0.50516,0.74522,0.87988,0.91667,0.55,0.55,0.57143,0.49455000000000005,0.39564,0.48632,0.38,0.3,2.36,0.22,3.1,0.55102,0.70833,0.40121,0.91667,0.40121,0.57143
qft,9,0.12203,0.12705,0.07684,0.51412,0.86733,0.84865,0.45349,0.42289,0.60714,0.28776,0.27497,0.310405,1.64,0.83,5.36,0.43,0.97,0.40796,0.38906,0.01367,0.84865,0.01367,0.60714
portfolioqaoa,6,0.05437,0.09908,0.1411,0.56923,0.86842,0.90323,0.41667,0.35238,0.5193,0.23552,0.22573000000000001,0.298985,1.05,0.77,5.77,0.18,4.02,0.39683,0.4661,0.0,0.86467,0.06464,0.53333
qft,2,0.9255,0.91606,0.91297,0.84211,0.88462,0.92958,0.0,0.0,0.0,0.46275,0.45803,0.456485,0.02,0.05,1.51,0.75,0.09,0.0,0.6875,0.90965,0.94545,0.46806,0.0
graphstate,5,0.56399,0.54815,0.72168,0.55172,0.88514,0.92818,0.26923,0.11765,0.34483,0.41661000000000004,0.33290000000000003,0.46084,0.22,0.15,3.43,0.27,3.5,0.2,0.91667,0.28544,0.63291,0.07047,0.38462
qft,11,0.00021,0.00065,0.02203,0.455,0.8654,0.84812,0.48318,0.56196,0.672,0.241695,0.281305,0.336845,0.4,10.61,5.52,1.58,2.34,0.52866,0.37575,0.00169,0.84812,0.00169,0.672
dj,16,0.38895,0.27579,0.19184,0.75625,0.87313,0.87249,0.05128,0.07843,0.42105,0.220115,0.17711,0.362285,0.14,0.51,5.02,1.81,4.96,0.64167,0.47368,0.00748,0.67932,1e-05,0.5463
ghz,3,0.90522,0.91632,0.9027,0.75,0.92857,0.86667,0.0,0.0,0.0,0.45261,0.45816,0.47154,0.14,0.04,3.98,0.9,3.44,0.0,0.75,0.89648,0.97143,0.89863,0.0
ghz,7,0.58824,0.81419,0.73718,0.625,0.925,0.84615,0.0,0.0,0.41176,0.29412,0.407095,0.412,0.04,0.08,1.58,0.97,3.76,0.0,0.84615,0.49312,0.16393,0.73718,0.0
twolocalrandom,9,0.01917,0.00016,0.00436,0.63936,0.86868,0.95599,0.44407,0.49096,0.69444,0.23162000000000002,0.24556,0.35002999999999995,0.42,1.25,4.4,2.41,1.49,0.53269,0.27032,0.00562,0.81538,4e-05,0.69444
qpeinexact,12,0.0128,8e-05,0.00475,0.51604,0.86654,0.8572,0.39769,0.53935,0.609,0.20524499999999998,0.269715,0.31227499999999997,0.33,9.46,4.31,2.4,3.7,0.51701,0.38408,0.0,0.27964,0.0,0.53168
wstate,12,0.45699,0.63106,0.00075,0.78218,0.90984,0.87302,0.40909,0.40909,0.58647,0.43304,0.520075,0.51234,0.15,0.27,13.7,1.28,1.05,0.07407,0.95337,0.02823,0.81135,0.00242,0.5
qaoa,14,0.12821,0.02423,0.15119,0.7156,0.87725,0.87201,0.78495,0.62069,0.75721,0.45658,0.32245999999999997,0.37591,0.22,0.54,3.04,1.12,2.4,0.66393,0.66111,6e-05,0.36391,0.0,0.47742
qpeinexact,15,0.00015,0.0,0.00049,0.47079,0.86539,0.86909,0.44152,0.50761,0.67385,0.220835,0.253805,0.30027,0.83,2.79,9.5,1.79,1.28,0.60356,0.67371,0.0,0.27112,0.0,0.52315
portfoliovqe,5,0.37596,0.11216,0.40918,0.67932,0.87054,0.89831,0.11842,0.25287,0.43333,0.24719000000000002,0.18251499999999998,0.350045,0.13,0.57,9.15,0.4,0.2,0.21429,0.73668,0.16752,0.89831,0.16752,0.43333
portfoliovqe,10,0.00066,1e-05,0.01075,0.63793,0.86588,0.89328,0.54113,0.60264,0.72593,0.270895,0.30132499999999995,0.363155,3.02,6.76,16.04,1.31,0.57,0.53846,0.37799,0.00038,0.89328,0.00038,0.72593
dj,5,0.77288,0.88357,0.77235,0.78378,0.8871,0.62,0.0,0.0,0.28,0.38644,0.441785,0.61258,0.32,0.17,15.54,2.27,1.06,0.0,0.91489,0.41856,0.55357,0.51337,0.15789
ae,2,0.94082,0.92503,0.91883,0.88889,0.91667,0.95745,0.0,0.0,0.0,0.47041,0.462515,0.476065,0.11,0.03,15.4,0.93,1.16,0.0,0.92,0.91805,0.94118,0.58908,0.0
twolocalrandom,4,0.56618,0.24887,0.65415,0.75484,0.8835,0.83636,0.13158,0.0,0.27778,0.34888,0.124435,0.37957,0.75,0.22,14.83,1.14,0.76,0.0,0.65385,0.40802,0.83636,0.40802,0.27778
dj,15,0.37965,0.30344,0.23081,0.7,0.87366,0.87352,0.06667,0.08511,0.41221,0.22316,0.194275,0.37124,0.97,0.41,2.38,11.56,2.27,0.64423,0.52727,0.00816,0.46964,0.0,0.42969
vqe,19,0.24431,0.16396,0.27613,0.86567,0.91892,0.92516,0.44444,0.44444,0.55556,0.344375,0.3042,0.4466,2.36,0.39,1.72,10.74,2.07,0.58667,0.76115,6e-05,0.44575,0.00185,0.44444
pricingcall,5,0.32029,0.30787,0.06097,0.66667,0.88081,0.91592,0.03846,0.03659,0.07059,0.179375,0.17223,0.241385,2.49,0.42,0.87,11.58,2.13,0.05769,0.86902,0.41218,0.64286,0.00024,0.09574
wstate,16,0.30046,0.28983,0.31925,0.78102,0.90964,0.87376,0.43333,0.43333,0.53608,0.36689499999999997,0.36158,0.42559,1.73,0.32,3.45,3.08,3.22,0.43333,0.85075,0.00045,0.46898,0.00039,0.52941
graphstate,18,0.06663,0.29888,0.25204,0.45492,0.89157,0.84507,0.56391,0.66667,0.7265,0.31527,0.48277499999999995,0.42252999999999996,1.31,0.41,2.55,4.08,2.61,0.69048,0.65854,0.00024,0.33898,4e-05,0.48485
su2random,9,0.01375,0.00016,0.0078,0.63515,0.87026,0.82609,0.47561,0.49096,0.69444,0.24467999999999998,0.24556,0.34977499999999995,7.76,1.21,4.2,1.81,2.15,0.41481,0.27419,0.00511,0.82609,0.00511,0.69444
qpeexact,9,0.07696,0.0065,0.00085,0.5027,0.86796,0.85252,0.39674,0.34314,0.47561,0.23685,0.17482,0.269865,2.17,0.89,26.63,0.96,0.82,0.506,0.4781,0.01459,0.85252,0.01459,0.47561
qaoa,4,0.5904,0.39395,0.65688,0.70526,0.88421,0.91667,0.28571,0.31818,0.375,0.438055,0.356065,0.484205,0.23,0.39,2.3,2.86,3.45,0.0,0.73118,0.59341,0.91667,0.59341,0.375
graphstate,16,0.34196,0.13885,0.36892,0.69784,0.88217,0.84959,0.69048,0.64474,0.7398,0.51622,0.391795,0.41800000000000004,0.18,0.6,2.44,1.4,7.29,0.55172,0.71287,0.00293,0.44944,2e-05,0.6044
ghz,18,0.48053,0.26829,0.40171,0.55263,0.92377,0.87857,0.0,0.0,0.39205,0.240265,0.134145,0.421935,0.93,0.2,3.34,0.12,5.95,0.45763,0.2625,0.01019,0.1066,0.02589,0.0
qpeinexact,6,0.38325,0.47922,0.43946,0.61783,0.87634,0.85657,0.16667,0.17391,0.34211,0.27496,0.326565,0.37251,0.94,0.46,9.29,0.48,3.11,0.30556,0.52632,0.06052,0.41538,0.15349,0.25
qftentangled,14,2e-05,0.0,0.00701,0.47592,0.86565,0.86862,0.52757,0.73295,0.75184,0.263795,0.366475,0.30176,0.49,2.59,8.81,2.4,4.13,0.72447,0.37091,0.0,0.25877,0.0,0.56354
qaoa,13,0.08685,0.14855,0.13107,0.68454,0.88388,0.87487,0.65,0.71642,0.72786,0.368425,0.43248499999999995,0.40438,0.72,0.59,8.33,0.33,3.63,0.67769,0.6462,0.00011,0.3231,1e-05,0.61017
graphstate,9,0.37982,0.5218,0.55594,0.69512,0.9011,0.91667,0.32,0.5,0.55556,0.34991,0.5109,0.55575,0.15,0.29,5.52,1.16,0.86,0.55556,0.91667,0.55594,0.91667,0.55594,0.55556
wstate,20,0.2396,0.30148,0.18283,0.78035,0.90952,0.86887,0.44737,0.44737,0.56655,0.343485,0.374425,0.32504500000000003,1.36,0.42,5.22,3.62,4.24,0.40323,0.77536,0.00535,0.52589,0.0,0.35484
groundstate,14,0.0,0.0,0.00153,0.54779,0.86552,0.82276,0.55539,0.72511,0.71235,0.277695,0.362555,0.32667,0.61,7.87,10.35,4.36,7.11,0.6059,0.34215,0.0,0.42019,0.0,0.59772
groundstate,14,0.0,0.0,0.0,0.57073,0.86552,0.82799,0.52639,0.72511,0.69528,0.263195,0.362555,0.307605,0.81,7.82,8.11,4.47,7.05,0.65869,0.3755,0.0,0.48585,0.0,0.53455
portfolioqaoa,6,0.05435,0.09913,0.10127,0.56923,0.86809,0.91018,0.41667,0.35238,0.53333,0.23551,0.225755,0.270205,0.35,6.1,7.19,4.56,1.41,0.29577,0.43651,0.05882,0.91018,0.05882,0.53333
qpeexact,13,0.00022,1e-05,0.00468,0.52763,0.8651,0.85699,0.47248,0.61229,0.68033,0.23635,0.30615,0.308415,11.79,2.19,5.95,3.14,4.21,0.48491,0.37129,0.0,0.26821,0.0,0.55283
vqe,17,0.27892,0.21378,0.33642,0.86147,0.91919,0.88372,0.4375,0.4375,0.51261,0.35821000000000003,0.32564,0.4397,1.09,0.35,15.03,5.12,0.55,0.50847,0.77985,0.0,0.89231,0.0,0.59412
twolocalrandom,5,0.42466,0.11178,0.22941,0.64444,0.87729,0.82857,0.125,0.25287,0.43333,0.27483,0.182325,0.33137,0.5,0.37,7.0,0.05,0.03,0.43333,0.82857,0.22941,0.82857,0.22941,0.43333
dj,3,0.91902,0.93979,0.90492,0.88235,0.90909,0.91304,0.0,0.0,0.48214,0.45951,0.469895,0.439995,0.09,0.04,7.55,1.36,0.84,0.0,0.9,0.14695,0.3253,0.87999,0.0
realamprandom,2,0.92474,0.916,0.93633,0.86957,0.89286,0.96154,0.0,0.0,0.0,0.46237,0.458,0.468165,0.39,0.03,9.55,1.32,4.51,0.0,0.93333,0.91063,0.93333,0.49853,0.0
qpeexact,3,0.88853,0.9013,0.88858,0.86207,0.88889,0.86538,0.0,0.0,0.0,0.444265,0.45065,0.455985,0.47,0.05,5.43,2.54,12.19,0.0,0.75,0.95471,0.92683,0.68882,0.0
su2random,2,0.92437,0.91554,0.77823,0.9,0.91892,0.96154,0.0,0.0,0.0,0.462185,0.45777,0.468165,0.27,0.05,2.7,0.88,3.86,0.0,0.94737,0.49853,0.96154,0.49853,0.0
qpeexact,10,0.00972,0.01353,0.00638,0.55485,0.86577,0.85263,0.39336,0.41786,0.54082,0.20154,0.215695,0.2736,0.55,0.87,2.93,2.65,1.89,0.54082,0.85263,0.00638,0.85263,0.00638,0.54082
ae,14,8e-05,0.0,0.00263,0.53619,0.86587,0.8663,0.45714,0.58562,0.66418,0.22861,0.29281,0.287985,2.12,18.93,3.25,3.19,4.93,0.62044,0.44196,0.0,0.32952,0.0,0.57796
graphstate,20,0.0942,0.15842,0.19649,0.54651,0.89249,0.9064,0.74359,0.66038,0.76392,0.418895,0.4094,0.34418499999999996,0.48,0.64,3.5,2.8,4.24,0.64602,0.61433,2e-05,0.30817,0.0,0.64474
dj,9,0.59618,0.42953,0.56434,0.6506,0.87634,0.91579,0.17241,0.0,0.43421,0.38429500000000005,0.214765,0.43073,0.47,0.29,2.37,2.38,5.29,0.40625,0.64835,0.0771,0.35593,0.59497,0.0
portfoliovqe,9,0.00908,0.00016,0.00856,0.67011,0.86516,0.89381,0.47009,0.49096,0.69444,0.239585,0.24556,0.34812499999999996,2.95,1.51,5.16,1.14,0.59,0.44894,0.57178,0.00181,0.89381,0.00181,0.69444
portfoliovqe,11,0.0,0.0,0.00032,0.58988,0.8648,0.89286,0.45886,0.63198,0.75152,0.22943,0.31599,0.375795,2.51,11.38,11.5,23.71,1.86,0.54502,0.6152,7e-05,0.89286,7e-05,0.75152
graphstate,3,0.88093,0.73034,0.84566,0.75,0.89831,0.94118,0.0,0.0,0.2,0.440465,0.36517,0.41113,0.06,0.22,6.61,1.74,4.1,0.0,0.83333,0.39252,0.54545,0.35224,0.0
realamprandom,7,0.06578,0.00438,0.00174,0.63655,0.87247,0.82,0.44199,0.44809,0.60317,0.253885,0.226235,0.325365,13.06,0.74,2.25,24.26,1.71,0.27559,0.27841,0.04756,0.82,0.04756,0.60317
dj,19,0.26507,0.07102,0.09154,0.65385,0.87011,0.8751,0.02778,0.26882,0.39683,0.14642499999999997,0.16992000000000002,0.34336999999999995,0.56,0.68,24.44,1.4,2.08,0.64943,0.46951,0.00642,0.44898,0.0,0.39216
qpeinexact,7,0.2228,0.24157,0.21494,0.60976,0.87392,0.85387,0.28125,0.27451,0.42857,0.252025,0.25804,0.291975,1.07,0.52,25.37,0.9,2.64,0.32121,0.39114,0.02109,0.41897,0.07152,0.35294
dj,20,0.26554,0.14628,0.07113,0.71905,0.87082,0.87236,0.05085,0.21176,0.41718,0.158195,0.17902,0.34095000000000003,0.9,0.56,2.6,1.93,1.41,0.65285,0.41337,0.02253,0.45485,0.0,0.34356
twolocalrandom,8,0.02216,0.00078,0.01116,0.59655,0.86974,0.81739,0.37607,0.48333,0.65476,0.19911500000000001,0.242055,0.336145,1.68,1.11,20.16,1.09,1.22,0.38643,0.36278,0.01753,0.81739,0.01753,0.65476
pricingcall,9,0.00152,0.00403,0.00034,0.61856,0.87522,0.86068,0.16216,0.21607,0.17763,0.08184,0.11005000000000001,0.13116,2.92,1.48,2.36,0.74,0.72,0.17763,0.86068,0.00034,0.86068,0.00034,0.17763
vqe,15,0.31005,0.38815,0.41259,0.875,0.92113,0.92802,0.42857,0.42857,0.46818,0.36931,0.40836,0.32346,1.91,0.3,18.0,1.61,2.54,0.37209,0.81933,0.00281,0.52174,0.00941,0.42857
graphstate,14,0.23192,0.45223,0.33226,0.5302,0.88814,0.84472,0.47143,0.46,0.78088,0.351675,0.45611500000000005,0.29965,1.12,0.43,18.23,2.66,3.14,0.64615,0.65969,0.00358,0.35806,0.00043,0.62
qgan,6,0.51488,0.55625,0.5583,0.77922,0.87671,0.92609,0.20588,0.22222,0.4,0.36038000000000003,0.389235,0.38942,0.52,0.24,5.15,2.62,1.96,0.11111,0.6281,0.37884,0.91525,0.00461,0.23529
groundstate,12,0.0004,1e-05,0.00471,0.61081,0.86476,0.82404,0.56556,0.56495,0.65698,0.28297999999999995,0.28247999999999995,0.33432,1.68,7.64,9.61,3.05,6.61,0.57732,0.27612,0.0,0.51412,0.0,0.63975
qaoa,8,0.32853,0.18781,0.35214,0.72527,0.87896,0.91667,0.66,0.70769,0.6875,0.494265,0.44775000000000004,0.51982,0.19,0.37,2.44,3.86,1.24,0.6875,0.91667,0.35214,0.91667,0.35214,0.6875
ghz,14,0.55986,0.65068,0.60816,0.56667,0.92398,0.87963,0.0,0.0,0.4434,0.27993,0.32534,0.30408,0.35,0.14,3.25,3.05,5.09,0.0,0.51515,0.26553,0.13821,0.08515,0.0
su2random,5,0.42466,0.11146,0.41629,0.64835,0.88049,0.84615,0.125,0.25287,0.43333,0.27483,0.182165,0.325515,0.72,0.38,5.53,1.79,3.43,0.21429,0.50296,0.2177,0.84615,0.2177,0.43333
qpeexact,5,0.41086,0.42941,0.01347,0.63303,0.87634,0.85635,0.125,0.15217,0.32353,0.26793,0.29079,0.29626,0.49,0.29,9.79,0.85,1.34,0.25,0.92661,0.12262,0.46457,0.25852,0.19231
vqe,7,0.60351,0.76201,0.52938,0.87879,0.92357,0.95312,0.33333,0.33333,0.33333,0.46842,0.54767,0.431355,0.32,0.13,3.3,1.08,1.22,0.33333,0.86364,0.56683,0.90323,0.16557,0.33333
tsp,9,0.29713,0.53585,0.58256,0.87915,0.89189,0.90544,0.6,0.6,0.6,0.448565,0.567925,0.5703499999999999,0.94,0.43,3.14,1.15,1.22,0.55814,0.90812,0.08544,0.90544,0.08544,0.6
ghz,13,0.56582,0.66574,0.66118,0.57143,0.92405,0.87117,0.0,0.0,0.41667,0.28291,0.33287,0.34068,0.41,0.16,3.35,9.91,2.6,0.0,0.51613,0.10481,0.18182,0.02941,0.28571
